arrTime  baseData  exeTime	usrId
7	25	12	100
35	2	12	1000
70	1	12	1000
105	20	12	102
118	18	12	105
201	4	12	101
229	14	12	102
248	15	12	103
254	18	12	1000
258	22	12	102
282	21	12	103
284	9	12	1000
313	21	12	107
412	8	12	103
432	29	12	108
457	5	12	100
463	18	12	101
464	6	12	101
470	23	12	104
499	19	12	102
511	19	12	107
516	26	12	108
534	19	12	1000
552	12	12	102
564	11	12	104
656	16	12	1000
721	18	12	101
816	13	12	103
820	3	12	104
877	7	12	100
884	0	12	103
898	27	12	100
899	24	12	106
912	10	12	101
959	28	12	107
962	19	12	105
975	21	12	100
985	17	12	107
1001	6	12	107
1002	46	12	104
1004	36	12	1000
1005	39	12	100
1020	54	12	106
1045	21	12	107
1046	38	12	107
1056	18	12	1000
1082	49	12	107
1099	18	12	1000
1107	19	12	107
1119	21	12	105
1183	21	12	101
1187	40	12	105
1204	19	12	101
1217	26	12	100
1232	47	12	104
1256	31	12	101
1267	30	12	102
1283	19	12	108
1300	50	12	106
1301	41	12	100
1336	32	12	105
1336	48	12	107
1360	19	12	108
1388	45	12	107
1402	18	12	108
1441	18	12	103
1444	19	12	103
1444	44	12	108
1458	25	12	100
1460	18	12	105
1501	44	12	107
1516	21	12	108
1541	21	12	107
1552	18	12	105
1582	21	12	103
1588	18	12	103
1625	18	12	106
1632	37	12	1000
1634	18	12	106
1640	42	12	104
1648	19	12	103
1656	35	12	107
1688	43	12	108
1714	33	12	108
1736	18	12	100
1784	52	12	101
1791	53	12	100
1794	18	12	101
1805	18	12	101
1813	36	12	101
1815	11	12	108
1819	5	12	105
1829	18	12	103
1848	19	12	106
1873	19	12	107
1878	34	12	1000
1904	51	12	101
1912	30	12	107
1942	19	12	107
2015	44	12	102
2016	87	12	103
2040	19	12	108
2064	18	12	103
2064	18	12	102
2084	44	12	106
2099	68	12	101
2103	18	12	102
2105	72	12	105
2109	26	12	104
2116	75	12	100
2132	18	12	107
2163	73	12	105
2177	19	12	1000
2188	59	12	101
2202	67	12	101
2217	13	12	101
2220	19	12	101
2222	89	12	1000
2234	65	12	106
2241	78	12	103
2312	61	12	106
2313	21	12	107
2318	79	12	107
2324	18	12	108
2340	66	12	100
2371	21	12	1000
2379	19	12	105
2396	71	12	1000
2412	48	12	105
2414	19	12	104
2419	18	12	106
2421	18	12	101
2428	19	12	103
2435	29	12	102
2439	19	12	100
2459	18	12	1000
2469	21	12	107
2470	74	12	107
2472	85	12	102
2473	62	12	106
2478	18	12	108
2490	21	12	101
2494	82	12	105
2500	77	12	103
2508	56	12	103
2543	65	12	101
2588	76	12	100
2620	18	12	103
2644	81	12	105
2652	19	12	102
2662	21	12	1000
2669	36	12	107
2704	18	12	107
2705	70	12	1000
2720	50	12	105
2722	86	12	105
2722	88	12	1000
2744	18	12	101
2744	69	12	1000
2797	64	12	102
2815	54	12	100
2818	19	12	102
2845	80	12	106
2878	58	12	106
2879	60	12	106
2900	55	12	108
2912	36	12	102
2914	18	12	107
2925	5	12	103
2933	20	12	108
2949	84	12	106
2955	48	12	105
2980	57	12	100
2984	83	12	105
2997	63	12	106
2999	25	12	107
3026	18	12	100
3043	37	12	103
3061	45	12	106
3075	21	12	104
3091	25	12	103
3094	92	12	101
3121	97	12	1000
3127	109	12	102
3137	101	12	100
3154	93	12	105
3187	44	12	100
3188	18	12	100
3199	91	12	101
3235	90	12	105
3259	19	12	104
3259	98	12	104
3300	19	12	104
3303	106	12	107
3339	45	12	105
3340	18	12	106
3342	111	12	105
3348	13	12	106
3371	19	12	104
3377	94	12	100
3387	21	12	106
3395	19	12	101
3407	95	12	105
3440	18	12	102
3441	21	12	106
3448	37	12	102
3461	18	12	108
3464	44	12	108
3472	18	12	102
3493	96	12	106
3502	21	12	105
3503	10	12	100
3512	20	12	108
3523	18	12	106
3536	104	12	101
3548	21	12	103
3550	101	12	100
3560	18	12	101
3583	37	12	100
3596	18	12	103
3607	36	12	107
3610	28	12	104
3658	21	12	108
3706	19	12	1000
3721	69	12	107
3734	108	12	102
3736	45	12	102
3753	105	12	102
3759	14	12	106
3780	19	12	103
3784	102	12	104
3805	100	12	100
3817	36	12	102
3837	18	12	108
3868	18	12	107
3891	54	12	104
3908	38	12	1000
3917	107	12	107
3921	103	12	104
3923	110	12	104
3956	18	12	1000
3958	48	12	106
3959	28	12	1000
3968	99	12	104
3974	19	12	1000
4008	115	12	105
4018	28	12	101
4025	76	12	1000
4026	37	12	100
4026	29	12	107
4030	19	12	103
4036	122	12	102
4051	132	12	107
4054	39	12	102
4099	9	12	106
4110	54	12	103
4146	128	12	104
4146	29	12	103
4157	114	12	1000
4162	54	12	107
4190	49	12	104
4203	18	12	103
4263	21	12	1000
4279	19	12	107
4299	29	12	102
4310	6	12	100
4336	112	12	102
4357	19	12	102
4366	135	12	104
4384	18	12	102
4388	131	12	103
4404	21	12	101
4405	126	12	106
4409	120	12	103
4414	113	12	107
4439	12	12	104
4449	119	12	108
4480	49	12	108
4507	76	12	105
4530	117	12	100
4543	19	12	105
4562	18	12	104
4573	44	12	106
4574	48	12	100
4577	130	12	104
